date,ward,precinct,race,type,candidate,votes
2019-03-09,03,06,PRES OF BOA DEM,Total,MEGAN GREEN,5
2019-03-09,03,06,PRES OF BOA DEM,Total,LEWIS REED,34
2019-03-09,03,07,PRES OF BOA DEM,Polling,JAMILAH NASHEED,68
2019-03-09,03,07,PRES OF BOA DEM,Polling,MEGAN GREEN,6
2019-03-09,03,07,PRES OF BOA DEM,Polling,LEWIS REED,48
2019-03-09,03,07,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,7
2019-03-09,03,07,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,1
2019-03-09,03,07,PRES OF BOA DEM,ABSENTEE,LEWIS REED,6
2019-03-09,03,07,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,07,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,07,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,07,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,07,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,07,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,07,PRES OF BOA DEM,Total,JAMILAH NASHEED,75
2019-03-09,03,07,PRES OF BOA DEM,Total,MEGAN GREEN,7
2019-03-09,03,07,PRES OF BOA DEM,Total,LEWIS REED,54
2019-03-09,03,08,PRES OF BOA DEM,Polling,JAMILAH NASHEED,24
2019-03-09,03,08,PRES OF BOA DEM,Polling,MEGAN GREEN,1
